,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
290,Havelock,0,US,1553886771,40,34.88,-76.9,297.59,6.2
291,Bucerias,5,MX,1553886622,65,20.76,-105.33,298.71,4.1
292,Eyrarbakki,20,IS,1553886883,100,63.86,-21.15,274.26,3.6
293,Ous,0,RU,1553886929,90,60.91,61.52,270.717,2.21
294,Auki,0,NG,1553886931,17,12.18,6.51,306.367,3.01
295,Fortuna,20,ES,1553886924,67,38.18,-1.13,287.59,5.7
296,Half Moon Bay,1,US,1553886934,62,37.46,-122.43,289.82,5.1
297,Zhigansk,56,RU,1553886935,76,66.77,123.37,260.617,1.91
298,Kotma,0,IN,1553886936,64,23.2,81.98,294.567,1.01
299,Maramba,92,ID,1553886938,95,-2.58,120.81,292.167,0.51
300,Saryagash,90,KZ,1553884200,93,41.45,69.17,283.15,2.1
301,Kadaya,0,RU,1553886941,56,50.93,119.29,256.167,1.26
302,Tevaitoa,8,PF,1553886942,98,-16.78,-151.5,302.017,3.36
303,Santiago del Estero,24,AR,1553886943,63,-27.8,-64.26,301.667,4.71
304,Okhotsk,0,RU,1553886945,91,59.36,143.24,262.217,3.31
305,Alofi,75,NU,1553882400,88,-19.06,-169.92,298.15,2.6
306,Ambon,0,FR,1553886927,58,47.55,-2.56,286.48,2.1
307,Hai Duong,90,VN,1553884200,100,20.94,106.32,298.15,1.5
308,Mungwi,64,ZM,1553886950,95,-10.17,31.37,291.067,1.26
309,Montbrison,0,FR,1553886938,35,45.61,4.07,289.82,6.2
310,Oum Hadjer,0,TD,1553886953,20,13.3,19.7,303.267,3.36
311,Puerto Ayora,20,EC,1553886933,74,-0.74,-90.35,302.15,6.7
312,Ust-Tsilma,88,RU,1553886955,78,65.44,52.15,273.417,5.81
313,Lubango,0,AO,1553886706,91,-14.92,13.49,294.317,0.66
314,Srednekolymsk,0,RU,1553886958,55,67.46,153.71,252.467,1.41
315,Oneonta,92,US,1553886831,91,42.45,-75.06,281.48,1.34
316,Port-Gentil,40,GA,1553882400,89,-0.72,8.78,302.15,4.1
317,Mopipi,0,BW,1553886962,24,-21.2,24.86,301.767,3.11
318,Vrangel,12,RU,1553886963,100,42.73,133.08,274.417,2.76
319,Strezhevoy,0,RU,1553884200,69,60.73,77.6,275.15,5.0
320,Barao de Melgaco,75,BR,1553882400,83,-16.19,-55.97,302.15,4.6
321,Mwinilunga,0,ZM,1553886967,57,-11.73,24.43,294.417,2.01
322,Buala,88,SB,1553886968,100,-8.15,159.59,298.617,2.56
323,Conde,0,BR,1553886970,68,-11.81,-37.61,303.817,5.01
324,Las Palmas,90,PE,1553882400,290,-6.53,-76.35,290.15,1.16
325,Santa Maria,20,BR,1553882400,58,-29.69,-53.81,302.15,4.1
326,Mandalgovi,32,MN,1553886976,59,45.76,106.27,261.817,1.41
327,Bonavista,48,CA,1553886945,74,48.65,-53.11,275.37,1.34
328,San Patricio,0,PY,1553886978,60,-26.98,-56.83,305.067,1.96
329,Barrow,36,AR,1553886980,59,-38.31,-60.23,297.417,7.36
330,Saint-Michel-des-Saints,64,CA,1553886902,7,46.68,-73.92,275.37,0.89
331,Ihosy,68,MG,1553886982,94,-22.4,46.13,291.567,1.16
332,Port Lincoln,76,AU,1553886984,92,-34.72,135.86,287.817,8.61
333,Zeya,24,RU,1553886985,72,53.74,127.27,258.067,0.96
334,Mackay,75,CA,1553882400,52,53.65,-115.58,278.15,1.56
335,San Andres,0,PH,1553886988,100,13.32,122.68,300.017,5.41
336,Nova Petropolis,75,BR,1553886955,53,-29.38,-51.11,303.71,3.1
337,Lebu,20,ET,1553886991,49,8.96,38.73,289.017,2.96
338,Tanabe,12,JP,1553886721,77,33.73,135.39,283.71,0.76
339,Namwala,0,ZM,1553886993,35,-15.75,26.45,300.167,5.31
340,Komsomolskiy,0,RU,1553886995,85,67.55,63.78,269.817,8.61
341,Caravelas,56,BR,1553886996,100,-17.73,-39.27,300.467,8.01
342,Berlevag,75,NO,1553885400,100,70.86,29.09,273.15,17.0
343,Turayf,40,SA,1553882400,54,31.68,38.65,287.15,3.1
344,Arucas,75,ES,1553886934,88,28.12,-15.52,292.04,4.6
345,Cuamba,68,MZ,1553887001,56,-14.8,36.54,299.017,4.61
346,Lompoc,1,US,1553886852,42,34.64,-120.46,294.26,4.6
347,Rundu,64,NA,1553887004,42,-17.91,19.77,300.917,2.41
348,Nanortalik,92,GL,1553887005,99,60.14,-45.24,273.267,4.66
349,Broken Hill,0,AU,1553882400,53,-31.97,141.45,284.15,8.2
350,Astana,90,KZ,1553884200,93,51.13,71.43,276.15,6.0
351,Yumen,32,CN,1553887009,56,40.29,97.04,271.817,4.56
352,San Borja,64,BO,1553887010,85,-14.86,-66.75,299.917,0.61
353,Morondava,0,MG,1553887012,84,-20.3,44.28,302.117,2.51
354,Maceio,40,BR,1553882400,58,-9.67,-35.74,303.15,5.7
355,Menongue,92,AO,1553887014,35,-14.66,17.68,300.367,2.01
356,Pasni,0,PK,1553887015,75,25.26,63.48,299.517,7.36
357,Kemin,88,KG,1553887017,90,42.79,75.7,273.817,0.86
358,Nuuk,75,GL,1553885400,74,64.17,-51.74,274.15,8.7
359,Talnakh,92,RU,1553887019,90,69.49,88.39,270.767,6.06
360,Bluffton,90,US,1553887014,100,40.74,-85.17,287.15,2.06
361,Harper,90,US,1553886688,77,30.3,-99.24,293.71,4.6
362,Huanren,88,CN,1553887024,53,41.26,125.37,270.917,1.31
363,Luderitz,8,NA,1553887025,81,-26.65,15.16,292.617,4.36
364,Yorkton,90,CA,1553884260,77,51.21,-102.46,273.15,9.8
365,Tabou,0,CI,1553887028,95,4.42,-7.36,302.917,5.81
366,Khandbari,32,NP,1553887029,63,27.38,87.21,274.917,0.76
367,Ouahigouya,0,BF,1553887030,13,13.58,-2.42,311.567,3.56
368,Riyadh,75,SA,1553882400,19,24.63,46.72,297.15,5.1
369,Kolokani,0,ML,1553887033,18,13.58,-8.03,310.817,2.66
370,Ugoofaaru,24,MV,1553887034,100,5.67,73.0,302.217,1.56
371,Namtsy,0,RU,1553884200,76,62.72,129.66,250.15,1.0
372,Kosh-Agach,48,RU,1553887037,79,49.99,88.66,266.017,1.16
373,Mabaruma,68,GY,1553887038,76,8.2,-59.78,301.617,3.76
374,Helong,12,CN,1553887040,94,25.94,116.13,285.317,1.06
375,Baykit,0,RU,1553887041,67,61.68,96.39,262.817,1.11
376,Bundaberg,75,AU,1553886916,88,-24.87,152.35,298.15,2.6
377,Udalguri,8,IN,1553887044,89,26.75,92.1,286.417,0.86
378,Kodinsk,0,RU,1553887045,78,58.6,99.18,263.967,1.06
379,Sitka,76,US,1553887004,98,37.17,-99.65,278.71,4.02
380,Matadi,88,CD,1553887048,97,-5.83,13.46,298.617,1.41
381,Am Timan,0,TD,1553887049,21,11.04,20.28,302.867,2.76
382,Comodoro Rivadavia,0,AR,1553882400,23,-45.87,-67.48,297.15,15.4
383,Yeppoon,40,AU,1553884200,88,-23.13,150.74,297.15,2.46
384,Magdagachi,44,RU,1553887053,65,53.45,125.8,260.967,1.11
385,Deputatskiy,68,RU,1553887054,58,69.3,139.9,253.617,1.21
386,Birao,0,CF,1553887056,18,10.3,22.78,301.017,3.06
387,Randfontein,0,ZA,1553887039,43,-26.17,27.69,297.59,3.1
388,Rio Gallegos,40,AR,1553882400,48,-51.62,-69.22,289.15,13.9
389,San-Pedro,8,CI,1553887060,66,4.75,-6.64,303.567,5.56
390,Bell Ville,0,AR,1553887061,66,-32.63,-62.69,300.767,3.71
391,Rio Grande,90,BR,1553882400,61,-32.03,-52.1,299.15,9.3
392,Preobrazheniye,12,RU,1553887064,83,42.9,133.91,264.417,0.31
393,Champerico,5,MX,1553884860,35,16.38,-93.6,304.15,3.6
394,Praia da Vitoria,20,PT,1553886110,63,38.73,-27.07,290.37,3.36
395,Shangrao,80,CN,1553887068,100,28.45,117.97,287.117,1.16
396,Johnson City,90,US,1553886778,36,36.31,-82.35,293.15,3.6
397,Awjilah,68,LY,1553887071,52,29.14,21.3,290.217,8.51
398,Erenhot,0,CN,1553887072,57,43.65,111.97,262.767,3.81
399,Kemise,24,ET,1553887074,74,10.72,39.87,286.217,0.91
400,Muriti,20,TZ,1553882400,73,-1.99,32.93,298.15,5.1
401,Scarborough,64,GB,1553886903,62,54.28,-0.41,287.04,2.1
402,Inuvik,90,CA,1553885160,79,68.36,-133.71,273.15,1.0
403,Fukuma,80,JP,1553886905,67,33.77,130.47,287.59,1.5
404,Ulaangom,56,MN,1553887080,63,49.98,92.07,257.817,0.66
405,Telimele,8,GN,1553887081,75,10.9,-13.03,301.317,1.01
406,Tipuani,24,BO,1553887083,78,-15.56,-68.02,295.617,0.96
407,Enugu,48,NG,1553886806,61,6.45,7.5,304.667,1.66
408,Bambous Virieux,20,MU,1553886844,78,-20.34,57.76,299.15,3.46
409,Los Llanos de Aridane,40,ES,1553887025,68,28.66,-17.92,291.15,1.0
410,Vostok,0,RU,1553887088,58,46.45,135.83,255.867,0.91
411,Makat,76,KZ,1553887089,63,47.65,53.35,278.267,3.11
412,Kimbe,76,PG,1553887091,100,-5.56,150.15,298.017,1.61
413,Tavricheskoye,90,RU,1553884200,100,54.59,73.64,274.15,3.0
414,San Luis,0,AR,1553887094,45,-33.3,-66.34,300.817,4.91
415,Yar-Sale,68,RU,1553887095,88,66.83,70.83,272.517,6.46
416,Tual,92,ID,1553887097,100,-5.67,132.75,298.667,5.56
417,Macapa,40,BR,1553882400,66,0.05,-51.07,305.15,5.7
418,Necochea,0,AR,1553883679,46,-38.55,-58.74,300.37,1.34
419,Rocky Mountain House,0,CA,1553887101,48,52.38,-114.92,278.917,1.66
420,Smiltene,0,LV,1553886616,81,57.42,25.9,279.82,1.79
421,Djenne,0,ML,1553887104,20,13.91,-4.55,311.217,3.01
422,Te Anau,8,NZ,1553887105,80,-45.41,167.72,274.417,1.16
423,Brainerd,1,US,1553886916,35,46.36,-94.2,279.26,5.7
424,Tezu,80,IN,1553887107,49,27.93,96.16,289.417,0.86
425,Puerto Baquerizo Moreno,20,EC,1553882400,66,-0.9,-89.6,304.15,4.1
426,Buraydah,0,SA,1553882400,41,26.33,43.97,299.15,5.7
427,Xuddur,0,SO,1553887075,28,4.12,43.89,301.617,4.81
428,Pocatello,90,US,1553887012,93,42.87,-112.44,275.37,5.1
429,Soyo,44,AO,1553887114,93,-6.13,12.37,299.217,1.46
430,Gat,0,SN,1553884200,56,14.69,-16.54,296.15,11.8
431,Moree,75,AU,1553886100,88,-29.46,149.84,294.15,8.2
432,Teya,5,MX,1553886908,24,21.05,-89.07,306.15,2.6
433,Petrove,0,UA,1553884200,51,48.34,33.27,276.15,3.0
434,Bagdarin,24,RU,1553887120,50,54.44,113.59,258.317,1.71
435,La Ronge,75,CA,1553885280,63,55.1,-105.3,271.15,5.1
436,Mana,0,RS,1553886000,45,43.52,20.24,281.15,1.0
437,Tazovskiy,76,RU,1553887125,92,67.47,78.7,271.517,5.26
438,Pueblo,90,US,1553887089,70,38.25,-104.61,283.71,2.6
439,Constitucion,5,MX,1553886617,9,23.99,-104.67,298.15,2.6
440,Cortez,90,US,1553887013,36,37.35,-108.58,281.15,2.6
441,Ajdabiya,88,LY,1553887130,73,30.75,20.22,287.417,6.71
442,Hofn,40,IS,1553886000,47,64.25,-15.21,275.15,5.1
443,San Rafael,0,AR,1553887134,33,-34.61,-68.33,301.567,3.81
444,Kloulklubed,75,PW,1553881800,88,7.04,134.26,297.15,1.5
445,Angol,0,CL,1553887137,70,-37.8,-72.71,293.967,1.21
446,Poum,0,MK,1553886000,22,41.28,20.71,281.15,3.1
447,Richards Bay,56,ZA,1553887139,88,-28.77,32.06,296.317,3.21
448,El Alto,40,BO,1553882400,47,-16.5,-68.19,288.15,4.1
449,Northam,68,GB,1553887033,76,51.04,-4.21,282.15,2.1
450,Musoma,32,TZ,1553887143,94,-1.5,33.81,295.317,1.46
451,Port Hardy,20,CA,1553882400,76,50.7,-127.42,282.15,3.1
452,Edmond,90,US,1553886925,77,35.66,-97.47,293.71,8.2
453,Kurilsk,88,RU,1553887147,96,45.23,147.88,269.517,8.61
454,Coihaique,75,CL,1553882400,77,-45.58,-72.07,288.15,2.1
455,Jacareacanga,44,BR,1553887150,74,-6.22,-57.76,303.567,1.31
456,Penzance,0,GB,1553887084,70,50.12,-5.53,283.71,1.41
457,Belmonte,0,PT,1553887121,48,40.36,-7.35,289.82,0.45
458,Berdigestyakh,0,RU,1553887154,57,62.1,126.7,254.317,1.16
459,Tessalit,88,ML,1553887155,18,20.2,1.01,307.417,1.76
460,Ancud,90,CL,1553882400,87,-41.87,-73.83,285.15,5.7
461,Murgab,75,TM,1553882400,76,37.5,61.97,286.15,2.1
462,Milkovo,20,BG,1553885400,46,41.53,24.68,283.15,5.1
463,Manyana,90,AU,1553887030,93,-35.26,150.51,292.04,6.2
464,Wanaka,0,NZ,1553887162,84,-44.7,169.14,271.817,0.86
465,Gbarnga,36,LR,1553887163,60,7.0,-9.47,304.967,2.46
466,Tarko-Sale,80,RU,1553887041,76,64.92,77.78,274.82,5.46
467,Montmagny,0,FR,1553887160,50,48.97,2.34,288.71,2.1
468,Bahsuma,12,IN,1553887167,72,29.2,77.97,294.017,2.86
469,Boulder,90,US,1553886902,100,40.02,-105.27,280.37,1.5
470,Matagami,0,NG,1553887170,22,9.67,8.4,304.917,3.21
471,Waseca,1,US,1553887090,51,44.08,-93.51,280.37,2.6
472,Oranjemund,68,ZA,1553887173,91,-28.55,16.43,289.317,6.41
473,Chumikan,64,RU,1553887174,73,54.72,135.31,263.117,1.76
474,Douentza,48,ML,1553887175,16,15.01,-2.95,310.367,3.01
475,Chapais,1,CA,1553882400,44,49.78,-74.86,266.15,4.6
476,Chuy,76,UY,1553887178,77,-33.69,-53.46,297.117,7.86
477,Suba,88,CN,1553887179,78,28.73,103.51,289.417,0.86
478,Taldan,36,RU,1553887180,66,53.69,124.82,262.017,1.66
479,Solnechnyy,68,RU,1553887182,85,50.72,136.64,262.967,1.16
480,Aquiraz,75,BR,1553887091,58,-3.9,-38.39,304.26,4.1
481,Nago,5,IT,1553887156,47,45.88,10.89,287.15,2.6
482,Ixtapa,5,MX,1553886963,65,20.71,-105.21,299.26,4.1
483,Ketchikan,1,US,1553882160,82,55.34,-131.65,282.15,2.6
484,Pacific Grove,1,US,1553887028,54,36.62,-121.92,289.82,2.6
485,Bad Durrenberg,0,DE,1553887188,76,51.3,12.07,283.71,1.0
486,Nagato,75,JP,1553887172,87,34.35,131.14,285.15,1.5
487,Koulikoro,0,ML,1553884200,36,12.86,-7.56,308.15,6.2
488,Loreto,12,PY,1553887194,58,-23.27,-57.32,307.117,4.36
489,Kamenka,0,RU,1553887196,73,53.19,44.05,266.467,1.21
490,Nhulunbuy,20,AU,1553884200,94,-12.18,136.78,297.15,1.0
491,Ust-Nera,0,RU,1553887198,23,64.57,143.24,245.317,0.76
492,Skibbereen,40,IE,1553886000,87,51.55,-9.27,279.15,3.6
493,Youkounkoun,0,GN,1553887201,22,12.53,-13.12,311.817,4.01
494,Cayenne,0,GF,1553884200,55,4.94,-52.33,304.15,6.2
495,Dwarka,48,IN,1553886008,57,28.58,77.04,304.26,5.01
496,Codrington,40,AU,1553886863,94,-28.95,153.24,296.15,2.51
497,Henties Bay,32,NA,1553886128,85,-22.12,14.28,292.04,0.89
498,Winnemucca,90,US,1553886984,48,40.97,-117.74,280.15,3.1
499,Linhares,12,BR,1553887209,51,-19.38,-40.06,303.117,7.36
500,Petatlan,5,MX,1553885100,66,17.52,-101.27,303.15,5.1
501,Middle Island,75,US,1553887207,71,40.88,-72.94,287.59,5.7
502,Husavik,48,CA,1553887204,94,50.56,-96.99,273.71,7.6
503,Wajid,0,SO,1553887215,27,3.81,43.25,301.917,4.51
504,Bierun,0,PL,1553887212,80,50.09,19.09,282.04,1.0
505,Pathein,12,MM,1553887217,91,16.78,94.73,294.967,2.91
506,Sinnamary,48,GF,1553887219,84,5.38,-52.96,301.717,5.21
507,Iwanai,64,JP,1553887220,100,42.97,140.51,272.567,5.31
508,Wamba,12,CD,1553887221,71,2.14,27.99,297.817,1.86
509,Nalchiti,0,BD,1553887223,72,22.63,90.28,298.117,3.66
510,Kolondieba,68,ML,1553887224,23,11.09,-6.89,311.567,2.66
511,Acajutla,12,SV,1553887010,50,13.59,-89.83,302.04,0.89
512,Batticaloa,0,LK,1553887227,100,7.71,81.69,298.617,4.26
513,Hovd,90,NO,1553887215,93,63.83,10.7,278.15,4.6
514,Peace River,75,CA,1553882400,48,56.23,-117.29,280.15,3.1
515,Pundaguitan,68,PH,1553887231,100,6.37,126.17,299.617,3.36
516,Lavumisa,32,ZA,1553886000,78,-27.31,31.88,296.15,1.5
517,Nabire,20,ID,1553887234,96,-3.36,135.5,292.467,0.86
518,Narasannapeta,0,IN,1553887235,89,18.42,84.04,297.317,1.16
519,Yarensk,92,RU,1553887236,72,62.17,49.09,272.117,5.71
520,Ardesen,75,TR,1553884200,75,41.19,40.99,280.15,3.6
521,Sorland,90,NO,1553885400,100,67.67,12.69,276.15,8.7
522,Yurla,44,RU,1553887240,87,59.33,54.32,269.567,1.16
523,Rome,0,IT,1553886664,58,41.89,12.48,287.15,2.1
524,Pisco,40,PE,1553882400,30,-13.71,-76.2,295.15,4.6
525,Sisimiut,56,GL,1553887245,87,66.94,-53.67,265.867,1.21
526,Bonthe,0,SL,1553887246,57,7.53,-12.5,304.467,3.06
527,Puerto Escondido,5,MX,1553884860,62,15.86,-97.07,303.15,2.6
528,Bushehr,0,IR,1553886000,52,28.97,50.84,294.15,3.1
529,Dingli,0,MT,1553887232,71,35.86,14.38,287.59,1.0
530,Grootfontein,56,NA,1553887251,76,-19.56,18.1,294.267,2.11
531,Sioux Lookout,90,CA,1553884560,68,50.1,-91.92,273.15,5.7
532,Alice Springs,0,AU,1553884200,43,-23.7,133.88,294.15,5.1
533,Rorvik,40,NO,1553887201,86,64.86,11.24,277.15,9.3
534,Chekhov,90,RU,1553886115,100,55.14,37.45,276.15,2.0
535,Mwingi,32,KE,1553887258,90,-0.93,38.07,292.817,1.61
536,Surab,0,PK,1553887259,57,28.49,66.26,285.667,1.96
537,Coquimbo,75,CL,1553882400,72,-29.95,-71.34,290.15,3.1
538,Tuatapere,8,NZ,1553887206,97,-46.13,167.69,281.48,1.66
539,Russellville,90,US,1553887225,82,35.28,-93.13,293.15,1.5
540,Culiacan,40,MX,1553887217,27,24.8,-107.39,304.82,3.6
541,Newcastle,8,ZA,1553887266,82,-27.76,29.92,289.317,1.71
542,Lazaro Cardenas,5,MX,1553887153,15,28.39,-105.62,300.15,1.86
543,Manthani,0,IN,1553887269,57,18.65,79.67,297.217,1.21
544,Black River,40,JM,1553886976,65,18.03,-77.85,301.48,8.2
545,Kayes,8,ML,1553887271,29,14.44,-11.44,311.367,3.11
546,San Cristobal,40,EC,1553886000,67,-0.39,-78.55,292.15,3.6
547,Bangkalan,76,ID,1553887274,97,-7.05,112.74,299.267,1.61
548,Ponta Delgada,75,PT,1553886000,67,37.73,-25.67,288.15,4.6
549,Bilibino,0,RU,1553887277,42,68.06,166.44,247.217,0.96
550,Beitbridge,36,ZA,1553887278,54,-22.21,29.99,301.317,5.21
551,San Quintin,24,PH,1553887280,81,17.54,120.52,294.417,0.91
552,Bereda,20,ES,1553887256,48,43.27,-7.54,289.26,2.1
553,Elat,44,CM,1553887283,98,2.91,11.16,296.417,1.01
554,Mentougou,0,CN,1553887278,21,39.94,116.09,279.82,10.0
555,Klyuchi,92,RU,1553887286,91,52.25,79.17,276.917,3.11
556,Coahuayana,0,MX,1553887287,24,18.62,-100.35,302.967,1.36
557,Ust-Kuyga,76,RU,1553887289,82,70.0,135.55,256.967,1.66
558,Mayo,20,CA,1553882400,69,63.59,-135.9,277.15,1.0
559,Znamenskoye,92,RU,1553887292,96,57.13,73.82,274.017,3.31
560,Miri,0,NG,1553887293,25,10.31,9.75,304.117,2.41
561,Novovyazniki,24,RU,1553887295,78,56.2,42.16,269.067,4.66
562,Dindori,0,IN,1553887296,55,22.94,81.08,293.367,1.11
563,Sao Joao da Barra,75,BR,1553882400,74,-21.64,-41.05,299.15,5.1
564,Salinas,20,US,1553887296,51,36.67,-121.66,289.82,2.6
565,Havoysund,90,NO,1553885400,86,71.0,24.66,274.15,13.9
566,Inhambane,0,MZ,1553886000,73,-23.87,35.38,298.15,2.1
567,Humaita,75,AR,1553886000,64,-24.93,-65.37,294.15,1.5
568,Jasper,56,US,1553887099,35,33.83,-87.28,297.04,2.61
569,Mehamn,75,NO,1553885400,84,71.03,27.85,274.15,17.0
570,Dauphin,75,CA,1553885160,80,51.15,-100.04,272.15,8.7
571,Sakti,0,IN,1553887309,59,22.03,82.96,296.567,0.61
572,Mataram,24,ID,1553887310,80,-5.32,105.06,297.917,1.61
573,Meulaboh,44,ID,1553887311,100,4.14,96.13,300.117,1.51
574,Lekoni,68,GA,1553887028,69,-1.58,14.26,300.217,4.51
575,Trairi,92,BR,1553887314,100,-3.28,-39.27,298.517,3.91
576,Saint-Louis,0,CH,1553887234,65,47.59,7.56,287.04,0.5
577,Conceicao do Araguaia,8,BR,1553887317,96,-8.26,-49.26,301.417,2.01
578,Manado,40,ID,1553886000,94,1.49,124.85,296.15,0.76
